portal_id	legacy_trait_group	legacy_phenotype_id	phenotype_name	display_group	trait_type
PORTAL:0002362	gcat_trait	gcat_trait_icos_ligand_measurement	icos ligand measurement	IMMUNOLOGICAL	measurement
PORTAL:0002363	gcat_trait	gcat_trait_immune_system_disease	immune system disease	IMMUNOLOGICAL	disease
PORTAL:0002364	gcat_trait	gcat_trait_immunoglobulin_E_measurement	immunoglobulin E measurement	IMMUNOLOGICAL	measurement
PORTAL:0002365	gcat_trait	gcat_trait_immunoglobulin_alpha_fc_receptor_measurement	immunoglobulin alpha fc receptor measurement	IMMUNOLOGICAL	measurement
PORTAL:0002366	gcat_trait	gcat_trait_immunoglobulin_isotype_switching_measurement	immunoglobulin isotype switching measurement	IMMUNOLOGICAL	measurement
PORTAL:0002367	gcat_trait	gcat_trait_immunoglobulin_lambdalike_polypeptide_1_measurement	immunoglobulin lambda-like polypeptide 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002368	gcat_trait	gcat_trait_immunoglobulin_superfamily_containing_leucinerich_repeat_protein_2_measurement	immunoglobulin superfamily containing leucine-rich repeat protein 2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002369	gcat_trait	gcat_trait_inflammatory_biomarker_measurement	inflammatory biomarker measurement	IMMUNOLOGICAL	measurement
PORTAL:0002370	gcat_trait	gcat_trait_integrin_alphaL_measurement	integrin alpha-L measurement	IMMUNOLOGICAL	measurement
PORTAL:0002371	gcat_trait	gcat_trait_intercellular_adhesion_molecule_1_measurement	intercellular adhesion molecule 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002372	gcat_trait	gcat_trait_intercellular_adhesion_molecule_3_measurement	intercellular adhesion molecule 3 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002373	gcat_trait	gcat_trait_interferon_alphabeta_receptor_1_measurement	interferon alpha/beta receptor 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002374	gcat_trait	gcat_trait_interferon_gamma_measurement	interferon gamma measurement	IMMUNOLOGICAL	measurement
PORTAL:0002375	gcat_trait	gcat_trait_interferon_gamma_receptor_1_measurement	interferon gamma receptor 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002376	gcat_trait	gcat_trait_interferon_gamma_receptor_2_measurement	interferon gamma receptor 2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002377	gcat_trait	gcat_trait_interferon_lambda1_measurement	interferon lambda-1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002378	gcat_trait	gcat_trait_interferon_lambda_receptor_1_measurement	interferon lambda receptor 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002379	gcat_trait	gcat_trait_interleukin10_receptor_subunit_alpha_measurement	interleukin-10 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002380	gcat_trait	gcat_trait_interleukin10_receptor_subunit_beta_measurement	interleukin-10 receptor subunit beta measurement	IMMUNOLOGICAL	measurement
PORTAL:0002381	gcat_trait	gcat_trait_interleukin12_receptor_subunit_beta1_measurement	interleukin-12 receptor subunit beta-1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002382	gcat_trait	gcat_trait_interleukin12_receptor_subunit_beta2_measurement	interleukin-12 receptor subunit beta-2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002383	gcat_trait	gcat_trait_interleukin13_receptor_subunit_alpha1_measurement	interleukin-13 receptor subunit alpha-1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002384	gcat_trait	gcat_trait_interleukin15_receptor_subunit_alpha_measurement	interleukin-15 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002385	gcat_trait	gcat_trait_interleukin17D_measurement	interleukin-17D measurement	IMMUNOLOGICAL	measurement
PORTAL:0002386	gcat_trait	gcat_trait_interleukin17_receptor_A_measurement	interleukin-17 receptor A measurement	IMMUNOLOGICAL	measurement
PORTAL:0002387	gcat_trait	gcat_trait_interleukin18_receptor_1_measurement	interleukin-18 receptor 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002388	gcat_trait	gcat_trait_interleukin18binding_protein_measurement	interleukin-18-binding protein measurement	IMMUNOLOGICAL	measurement
PORTAL:0002389	gcat_trait	gcat_trait_interleukin1_alpha_measurement	interleukin-1 alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002390	gcat_trait	gcat_trait_interleukin1_beta_measurement	interleukin-1 beta measurement	IMMUNOLOGICAL	measurement
PORTAL:0002391	gcat_trait	gcat_trait_interleukin1_receptor_antagonist_protein_measurement	interleukin-1 receptor antagonist protein measurement	IMMUNOLOGICAL	measurement
PORTAL:0002392	gcat_trait	gcat_trait_interleukin1_receptor_type_1_measurement	interleukin-1 receptor type 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002393	gcat_trait	gcat_trait_interleukin1_receptor_type_2_measurement	interleukin-1 receptor type 2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002394	gcat_trait	gcat_trait_interleukin1_receptorlike_1_measurement	interleukin-1 receptor-like 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002395	gcat_trait	gcat_trait_interleukin22_measurement	interleukin-22 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002396	gcat_trait	gcat_trait_interleukin22_receptor_subunit_alpha1_measurement	interleukin-22 receptor subunit alpha-1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002397	gcat_trait	gcat_trait_interleukin23_measurement	interleukin-23 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002398	gcat_trait	gcat_trait_interleukin2_receptor_subunit_alpha_measurement	interleukin-2 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002399	gcat_trait	gcat_trait_interleukin34_measurement	interleukin-34 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002400	gcat_trait	gcat_trait_interleukin36_alpha_measurement	interleukin-36 alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002401	gcat_trait	gcat_trait_interleukin3_receptor_subunit_alpha_measurement	interleukin-3 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002402	gcat_trait	gcat_trait_interleukin4_receptor_subunit_alpha_measurement	interleukin-4 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002403	gcat_trait	gcat_trait_interleukin5_receptor_subunit_alpha_measurement	interleukin-5 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002404	gcat_trait	gcat_trait_interleukin6_measurement	interleukin-6 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002405	gcat_trait	gcat_trait_interleukin6_receptor_subunit_alpha_measurement	interleukin-6 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002406	gcat_trait	gcat_trait_interleukin8_measurement	interleukin-8 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002407	gcat_trait	gcat_trait_interleukin_10_measurement	interleukin 10 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002408	gcat_trait	gcat_trait_interleukin_12_measurement	interleukin 12 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002409	gcat_trait	gcat_trait_interleukin_13_measurement	interleukin 13 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002410	gcat_trait	gcat_trait_interleukin_16_measurement	interleukin 16 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002411	gcat_trait	gcat_trait_interleukin_17_measurement	interleukin 17 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002412	gcat_trait	gcat_trait_interleukin_17_receptor_A_measurement	interleukin 17 receptor A measurement	IMMUNOLOGICAL	measurement
PORTAL:0002413	gcat_trait	gcat_trait_interleukin_18_measurement	interleukin 18 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002414	gcat_trait	gcat_trait_interleukin_18_receptor_1_measurement	interleukin 18 receptor 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002415	gcat_trait	gcat_trait_interleukin_18_receptor_accessory_protein_measurement	interleukin 18 receptor accessory protein measurement	IMMUNOLOGICAL	measurement
PORTAL:0002416	gcat_trait	gcat_trait_interleukin_19_measurement	interleukin 19 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002417	gcat_trait	gcat_trait_interleukin_1_Receptor_accessory_protein_measurement	interleukin 1 Receptor accessory protein measurement	IMMUNOLOGICAL	measurement
PORTAL:0002418	gcat_trait	gcat_trait_interleukin_1_receptor_antagonist_measurement	interleukin 1 receptor antagonist measurement	IMMUNOLOGICAL	measurement
PORTAL:0002419	gcat_trait	gcat_trait_interleukin_1_receptorlike_1_measurement	interleukin 1 receptor-like 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002420	gcat_trait	gcat_trait_interleukin_1_receptorlike_2_measurement	interleukin 1 receptor-like 2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002421	gcat_trait	gcat_trait_interleukin_25_measurement	interleukin 25 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002422	gcat_trait	gcat_trait_interleukin_27_receptor_subunit_alpha_measurement	interleukin 27 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002423	gcat_trait	gcat_trait_interleukin_2_measurement	interleukin 2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002424	gcat_trait	gcat_trait_interleukin_2_receptor_antagonist_measurement	interleukin 2 receptor antagonist measurement	IMMUNOLOGICAL	measurement
PORTAL:0002425	gcat_trait	gcat_trait_interleukin_4_measurement	interleukin 4 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002426	gcat_trait	gcat_trait_interleukin_5_measurement	interleukin 5 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002427	gcat_trait	gcat_trait_interleukin_5_receptor_subunit_alpha_measurement	interleukin 5 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002428	gcat_trait	gcat_trait_interleukin_6_receptor_subunit_alpha_measurement	interleukin 6 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002429	gcat_trait	gcat_trait_interleukin_7_measurement	interleukin 7 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002430	gcat_trait	gcat_trait_interleukin_7_receptor_subunit_alpha_measurement	interleukin 7 receptor subunit alpha measurement	IMMUNOLOGICAL	measurement
PORTAL:0002431	gcat_trait	gcat_trait_interleukin_9_measurement	interleukin 9 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002432	gcat_trait	gcat_trait_junctional_adhesion_molecule_C_measurement	junctional adhesion molecule C measurement	IMMUNOLOGICAL	measurement
PORTAL:0002433	gcat_trait	gcat_trait_juvenile_dermatomyositis	juvenile dermatomyositis	IMMUNOLOGICAL	phenotype
PORTAL:0002434	gcat_trait	gcat_trait_juvenile_idiopathic_arthritis	juvenile idiopathic arthritis	IMMUNOLOGICAL	phenotype
PORTAL:0002435	gcat_trait	gcat_trait_killer_cell_immunoglobulinlike_receptor_2DL4_measurement	killer cell immunoglobulin-like receptor 2DL4 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002436	gcat_trait	gcat_trait_killer_cell_immunoglobulinlike_receptor_2DL5A_measurement	killer cell immunoglobulin-like receptor 2DL5A measurement	IMMUNOLOGICAL	measurement
PORTAL:0002437	gcat_trait	gcat_trait_killer_cell_immunoglobulinlike_receptor_2DS2_measurement	killer cell immunoglobulin-like receptor 2DS2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002438	gcat_trait	gcat_trait_killer_cell_lectinlike_receptor_subfamily_F_member_1_measurement	killer cell lectin-like receptor subfamily F member 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002439	gcat_trait	gcat_trait_lateonset_myasthenia_gravis	late-onset myasthenia gravis	IMMUNOLOGICAL	phenotype
PORTAL:0002440	gcat_trait	gcat_trait_leukocyte_count	leukocyte count	IMMUNOLOGICAL	measurement
PORTAL:0002441	gcat_trait	gcat_trait_leukocyte_immunoglobulinlike_receptor_subfamily_A_member_5_measurement	leukocyte immunoglobulin-like receptor subfamily A member 5 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002442	gcat_trait	gcat_trait_leukocyte_immunoglobulinlike_receptor_subfamily_A_member_6_measurement	leukocyte immunoglobulin-like receptor subfamily A member 6 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002443	gcat_trait	gcat_trait_leukocyte_immunoglobulinlike_receptor_subfamily_B_member_1_measurement	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002444	gcat_trait	gcat_trait_leukocyte_immunoglobulinlike_receptor_subfamily_B_member_2_measurement	leukocyte immunoglobulin-like receptor subfamily B member 2 measurement	IMMUNOLOGICAL	measurement
PORTAL:0002445	gcat_trait	gcat_trait_level_of_Bcell_antigen_receptor_complexassociated_protein_beta_chain_in_blood_serum	level of B-cell antigen receptor complex-associated protein beta chain in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002446	gcat_trait	gcat_trait_level_of_CC_motif_chemokine_2_in_blood_serum	level of C-C motif chemokine 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002447	gcat_trait	gcat_trait_level_of_CMRF35like_molecule_1_in_blood_serum	level of CMRF35-like molecule 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002448	gcat_trait	gcat_trait_level_of_CMRF35like_molecule_9_in_blood_serum	level of CMRF35-like molecule 9 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002449	gcat_trait	gcat_trait_level_of_CXC_motif_chemokine_17_in_blood_serum	level of C-X-C motif chemokine 17 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002450	gcat_trait	gcat_trait_level_of_CXC_motif_chemokine_2_in_blood_serum	level of C-X-C motif chemokine 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002451	gcat_trait	gcat_trait_level_of_CXC_motif_chemokine_3_in_blood_serum	level of C-X-C motif chemokine 3 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002452	gcat_trait	gcat_trait_level_of_Ctype_lectin_domain_family_10_member_A_in_blood_serum	level of C-type lectin domain family 10 member A in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002453	gcat_trait	gcat_trait_level_of_Ctype_lectin_domain_family_4_member_C_in_blood_serum	level of C-type lectin domain family 4 member C in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002454	gcat_trait	gcat_trait_level_of_Ctype_lectin_domain_family_4_member_D_in_blood_serum	level of C-type lectin domain family 4 member D in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002455	gcat_trait	gcat_trait_level_of_Fc_receptorlike_protein_2_in_blood_serum	level of Fc receptor-like protein 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002456	gcat_trait	gcat_trait_level_of_Fc_receptorlike_protein_6_in_blood_serum	level of Fc receptor-like protein 6 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002457	gcat_trait	gcat_trait_level_of_T_cell_immunoreceptor_with_Ig_and_ITIM_domains_in_blood_serum	level of T cell immunoreceptor with Ig and ITIM domains in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002458	gcat_trait	gcat_trait_level_of_Tcell_differentiation_antigen_CD6_in_blood_plasma	level of T-cell differentiation antigen CD6 in blood plasma	IMMUNOLOGICAL	measurement
PORTAL:0002459	gcat_trait	gcat_trait_level_of_Tcell_surface_glycoprotein_CD1c_in_blood_serum	level of T-cell surface glycoprotein CD1c in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002460	gcat_trait	gcat_trait_level_of_Tcell_surface_glycoprotein_CD8_alpha_chain_in_blood_serum	level of T-cell surface glycoprotein CD8 alpha chain in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002461	gcat_trait	gcat_trait_level_of_Tcellspecific_surface_glycoprotein_CD28_in_blood_serum	level of T-cell-specific surface glycoprotein CD28 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002462	gcat_trait	gcat_trait_level_of_UL16binding_protein_2_in_blood_serum	level of UL16-binding protein 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002463	gcat_trait	gcat_trait_level_of_Vset_and_immunoglobulin_domaincontaining_protein_2_in_blood_serum	level of V-set and immunoglobulin domain-containing protein 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002464	gcat_trait	gcat_trait_level_of_Vset_and_immunoglobulin_domaincontaining_protein_4_in_blood_serum	level of V-set and immunoglobulin domain-containing protein 4 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002465	gcat_trait	gcat_trait_level_of_allergin1_in_blood_serum	level of allergin-1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002466	gcat_trait	gcat_trait_level_of_butyrophilin_subfamily_1_member_A1_in_blood_serum	level of butyrophilin subfamily 1 member A1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002467	gcat_trait	gcat_trait_level_of_butyrophilin_subfamily_2_member_A1_in_blood_serum	level of butyrophilin subfamily 2 member A1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002468	gcat_trait	gcat_trait_level_of_butyrophilin_subfamily_3_member_A2_in_blood_serum	level of butyrophilin subfamily 3 member A2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002469	gcat_trait	gcat_trait_level_of_complement_C1q_and_tumor_necrosis_factorrelated_protein_9A_in_blood_serum	level of complement C1q and tumor necrosis factor-related protein 9A in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002470	gcat_trait	gcat_trait_level_of_complement_C1q_tumor_necrosis_factorrelated_protein_1_in_blood_serum	level of complement C1q tumor necrosis factor-related protein 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002471	gcat_trait	gcat_trait_level_of_complement_C1q_tumor_necrosis_factorrelated_protein_5_in_blood_serum	level of complement C1q tumor necrosis factor-related protein 5 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002472	gcat_trait	gcat_trait_level_of_complement_C1qlike_protein_2_in_blood_serum	level of complement C1q-like protein 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002473	gcat_trait	gcat_trait_level_of_complement_C1r_subcomponentlike_protein_in_blood_serum	level of complement C1r subcomponent-like protein in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002474	gcat_trait	gcat_trait_level_of_complement_component_C1q_receptor_in_blood_serum	level of complement component C1q receptor in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002475	gcat_trait	gcat_trait_level_of_complement_receptor_type_1_in_blood_serum	level of complement receptor type 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002476	gcat_trait	gcat_trait_level_of_complement_receptor_type_2_in_blood_serum	level of complement receptor type 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002477	gcat_trait	gcat_trait_level_of_cytokine_receptorlike_factor_1_in_blood_serum	level of cytokine receptor-like factor 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002478	gcat_trait	gcat_trait_level_of_folate_receptor_beta_in_blood_serum	level of folate receptor beta in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002479	gcat_trait	gcat_trait_level_of_guanylatebinding_protein_1_in_blood_serum	level of guanylate-binding protein 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002480	gcat_trait	gcat_trait_level_of_high_affinity_immunoglobulin_alpha_and_immunoglobulin_mu_Fc_receptor_in_blood_serum	level of high affinity immunoglobulin alpha and immunoglobulin mu Fc receptor in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002481	gcat_trait	gcat_trait_level_of_immunoglobulin_J_chain_in_blood_serum	level of immunoglobulin J chain in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002482	gcat_trait	gcat_trait_level_of_immunoglobulin_superfamily_DCC_subclass_member_4_in_blood_serum	level of immunoglobulin superfamily DCC subclass member 4 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002483	gcat_trait	gcat_trait_level_of_indoleamine_23dioxygenase_1_in_blood_serum	level of indoleamine 2,3-dioxygenase 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002484	gcat_trait	gcat_trait_level_of_integrin_alphaM_in_blood_serum	level of integrin alpha-M in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002485	gcat_trait	gcat_trait_level_of_integrin_beta1_in_blood_serum	level of integrin beta-1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002486	gcat_trait	gcat_trait_level_of_intercellular_adhesion_molecule_4_in_blood_serum	level of intercellular adhesion molecule 4 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002487	gcat_trait	gcat_trait_level_of_interleukin12_subunit_beta_in_blood	level of interleukin-12 subunit beta in blood	IMMUNOLOGICAL	measurement
PORTAL:0002488	gcat_trait	gcat_trait_level_of_interleukin12_subunit_beta_in_blood_serum	level of interleukin-12 subunit beta in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002489	gcat_trait	gcat_trait_level_of_interleukin15_in_blood_serum	level of interleukin-15 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002490	gcat_trait	gcat_trait_level_of_interleukin15_receptor_subunit_alpha_in_blood_serum	level of interleukin-15 receptor subunit alpha in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002491	gcat_trait	gcat_trait_level_of_interleukin17_receptor_B_in_blood_serum	level of interleukin-17 receptor B in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002492	gcat_trait	gcat_trait_level_of_interleukin18_receptor_1_in_blood_serum	level of interleukin-18 receptor 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002493	gcat_trait	gcat_trait_level_of_interleukin1_receptor_accessory_protein_in_blood_serum	level of interleukin-1 receptor accessory protein in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002494	gcat_trait	gcat_trait_level_of_interleukin1_receptorlike_2_in_blood_serum	level of interleukin-1 receptor-like 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002495	gcat_trait	gcat_trait_level_of_interleukin32_in_blood_serum	level of interleukin-32 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002496	gcat_trait	gcat_trait_level_of_interleukin5_receptor_subunit_alpha_in_blood_serum	level of interleukin-5 receptor subunit alpha in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002497	gcat_trait	gcat_trait_level_of_interleukin6_receptor_subunit_alpha_in_blood_serum	level of interleukin-6 receptor subunit alpha in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002498	gcat_trait	gcat_trait_level_of_interleukin6_receptor_subunit_beta_in_blood_serum	level of interleukin-6 receptor subunit beta in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002499	gcat_trait	gcat_trait_level_of_killer_cell_immunoglobulinlike_receptor_2DL2_in_blood_serum	level of killer cell immunoglobulin-like receptor 2DL2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002500	gcat_trait	gcat_trait_level_of_killer_cell_immunoglobulinlike_receptor_2DL3_in_blood_serum	level of killer cell immunoglobulin-like receptor 2DL3 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002501	gcat_trait	gcat_trait_level_of_killer_cell_immunoglobulinlike_receptor_3DL1_in_blood_serum	level of killer cell immunoglobulin-like receptor 3DL1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002502	gcat_trait	gcat_trait_level_of_killer_cell_lectinlike_receptor_subfamily_B_member_1_in_blood_serum	level of killer cell lectin-like receptor subfamily B member 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002503	gcat_trait	gcat_trait_level_of_leukocyte_cellderived_chemotaxin2_in_blood_serum	level of leukocyte cell-derived chemotaxin-2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002504	gcat_trait	gcat_trait_level_of_leukocyte_immunoglobulinlike_receptor_subfamily_A_member_2_in_blood_serum	level of leukocyte immunoglobulin-like receptor subfamily A member 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002505	gcat_trait	gcat_trait_level_of_leukocyte_immunoglobulinlike_receptor_subfamily_A_member_5_in_blood_serum	level of leukocyte immunoglobulin-like receptor subfamily A member 5 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002506	gcat_trait	gcat_trait_level_of_leukocyte_immunoglobulinlike_receptor_subfamily_B_member_4_in_blood_serum	level of leukocyte immunoglobulin-like receptor subfamily B member 4 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002507	gcat_trait	gcat_trait_level_of_leukocyteassociated_immunoglobulinlike_receptor_1_in_blood_serum	level of leukocyte-associated immunoglobulin-like receptor 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002508	gcat_trait	gcat_trait_level_of_leukocyteassociated_immunoglobulinlike_receptor_2_in_blood_serum	level of leukocyte-associated immunoglobulin-like receptor 2 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002509	gcat_trait	gcat_trait_level_of_linker_for_activation_of_Tcells_family_member_1_in_blood_serum	level of linker for activation of T-cells family member 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002510	gcat_trait	gcat_trait_level_of_lymphocyte_functionassociated_antigen_3_in_blood_serum	level of lymphocyte function-associated antigen 3 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002511	gcat_trait	gcat_trait_level_of_macrophage_receptor_MARCO_in_blood_serum	level of macrophage receptor MARCO in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002512	gcat_trait	gcat_trait_level_of_mast_cellexpressed_membrane_protein_1_in_blood_serum	level of mast cell-expressed membrane protein 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002513	gcat_trait	gcat_trait_level_of_membrane_cofactor_protein_in_blood_serum	level of membrane cofactor protein in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002514	gcat_trait	gcat_trait_level_of_natural_cytotoxicity_triggering_receptor_3_ligand_1_in_blood_serum	level of natural cytotoxicity triggering receptor 3 ligand 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002515	gcat_trait	gcat_trait_level_of_osteoclastassociated_immunoglobulinlike_receptor_in_blood_serum	level of osteoclast-associated immunoglobulin-like receptor in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002516	gcat_trait	gcat_trait_level_of_paired_immunoglobulinlike_type_2_receptor_alpha_in_blood_serum	level of paired immunoglobulin-like type 2 receptor alpha in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002517	gcat_trait	gcat_trait_level_of_paired_immunoglobulinlike_type_2_receptor_beta_in_blood_serum	level of paired immunoglobulin-like type 2 receptor beta in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002518	gcat_trait	gcat_trait_level_of_peptidoglycan_recognition_protein_4_in_blood_serum	level of peptidoglycan recognition protein 4 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002519	gcat_trait	gcat_trait_level_of_programmed_cell_death_protein_1_in_blood_serum	level of programmed cell death protein 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002520	gcat_trait	gcat_trait_level_of_pyrin_domaincontaining_protein_1_in_blood_serum	level of pyrin domain-containing protein 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002521	gcat_trait	gcat_trait_level_of_sialic_acidbinding_Iglike_lectin_8_in_blood_serum	level of sialic acid-binding Ig-like lectin 8 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002522	gcat_trait	gcat_trait_level_of_signaling_thresholdregulating_transmembrane_adapter_1_in_blood_serum	level of signaling threshold-regulating transmembrane adapter 1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002523	gcat_trait	gcat_trait_level_of_signalregulatory_protein_beta1_in_blood_serum	level of signal-regulatory protein beta-1 in blood serum	IMMUNOLOGICAL	measurement
PORTAL:0002524	gcat_trait	gcat_trait_level_of_tremlike_transcript_2_protein_in_blood_serum	level of trem-like transcript 2 protein in blood serum	IMMUNOLOGICAL	measurement
